9606.ENSP00000424870	9606.ENSP00000362744
9606.ENSP00000224652	9606.ENSP00000287706
9606.ENSP00000260443	9606.ENSP00000346088
9606.ENSP00000345405	9606.ENSP00000384211
9606.ENSP00000376272	9606.ENSP00000261597
9606.ENSP00000251143	9606.ENSP00000267935
9606.ENSP00000381448	9606.ENSP00000284981
9606.ENSP00000418960	9606.ENSP00000329357
9606.ENSP00000350333	9606.ENSP00000352925
9606.ENSP00000264335	9606.ENSP00000323889
9606.ENSP00000381775	9606.ENSP00000263341
9606.ENSP00000314193	9606.ENSP00000221233
9606.ENSP00000259239	9606.ENSP00000348107
9606.ENSP00000328181	9606.ENSP00000283147
9606.ENSP00000253237	9606.ENSP00000364293
9606.ENSP00000472998	9606.ENSP00000227524
9606.ENSP00000216455	9606.ENSP00000261303
9606.ENSP00000293330	9606.ENSP00000303452
9606.ENSP00000429374	9606.ENSP00000357823
9606.ENSP00000283195	9606.ENSP00000367721
9606.ENSP00000418082	9606.ENSP00000472985
9606.ENSP00000341874	9606.ENSP00000435777
9606.ENSP00000367029	9606.ENSP00000384302
9606.ENSP00000371858	9606.ENSP00000346725
9606.ENSP00000379506	9606.ENSP00000389103
9606.ENSP00000357727	9606.ENSP00000356505
9606.ENSP00000345195	9606.ENSP00000368022
9606.ENSP00000322396	9606.ENSP00000298746
9606.ENSP00000215793	9606.ENSP00000387006
9606.ENSP00000346340	9606.ENSP00000265038
9606.ENSP00000346088	9606.ENSP00000272418
9606.ENSP00000377275	9606.ENSP00000416097
9606.ENSP00000412292	9606.ENSP00000265148
9606.ENSP00000450607	9606.ENSP00000262315
9606.ENSP00000164305	9606.ENSP00000281382
9606.ENSP00000318861	9606.ENSP00000363313
9606.ENSP00000478070	9606.ENSP00000351137
9606.ENSP00000454836	9606.ENSP00000318195
9606.ENSP00000377878	9606.ENSP00000273398
9606.ENSP00000254325	9606.ENSP00000262510
9606.ENSP00000327608	9606.ENSP00000258613
9606.ENSP00000337946	9606.ENSP00000347486
9606.ENSP00000477760	9606.ENSP00000363322
9606.ENSP00000246551	9606.ENSP00000349709
9606.ENSP00000240488	9606.ENSP00000251496
9606.ENSP00000338345	9606.ENSP00000284981
9606.ENSP00000053468	9606.ENSP00000435777
9606.ENSP00000324560	9606.ENSP00000358072
9606.ENSP00000346067	9606.ENSP00000268802
9606.ENSP00000365588	9606.ENSP00000260810
9606.ENSP00000441543	9606.ENSP00000261584
9606.ENSP00000254193	9606.ENSP00000263694
9606.ENSP00000445162	9606.ENSP00000453872
9606.ENSP00000296509	9606.ENSP00000275517
9606.ENSP00000342924	9606.ENSP00000356379
9606.ENSP00000258457	9606.ENSP00000216038
9606.ENSP00000260102	9606.ENSP00000362208
9606.ENSP00000053468	9606.ENSP00000352706
9606.ENSP00000217964	9606.ENSP00000355996
9606.ENSP00000332198	9606.ENSP00000328174
9606.ENSP00000371253	9606.ENSP00000339795
9606.ENSP00000367623	9606.ENSP00000283195
9606.ENSP00000395772	9606.ENSP00000267425
9606.ENSP00000216484	9606.ENSP00000381231
9606.ENSP00000259895	9606.ENSP00000370201
9606.ENSP00000368887	9606.ENSP00000364293
