NC(=O)OCC(COC(N)=O)C1=CC=CC=C1 DB00949	NC(=O)OCC(COC(N)=O)c1ccccc1	6670835;133703050;20214135;33531799;55867146;37383754;37674170;26060532;96831;23601642;19745556;34120699;269109;2323449;62031995;10223092;44457145;64657674;21074672;81514380;69031666;5703593;22077179;28863790;2337535;129379700;3069791;7236148;24944632;7491275;15117179;12551221;10441768;32935840;21160965;7105915;20720527;84104625;109232027;16575432;12688106;38164306;7649534;15515954;62773257;23803971;45930527;1844201;89899623;4206118;12743744;18814707;21790045;2497643;12969638;32152862;162679557;11125961;44430540;6894972;39128684;15900494;28899807;23673928;20934095;13517680;56384029;123912698;38963697;15532327;53577296;13107679;12021902;22049660;43984782;6240066;55109039;1590051;12055744;20158185;7137632;10878963;92151290;32815654;1960852;52432796;155731875;3528517;1960410;105992443;17142153;10247246;15247076;7039678;30622218;32874081;27377012;95321915;19517087;1417908;49621720;98203575;18372124;7165699;55138960;13909799;80641626;72636458;14259396;13287750;18325532;33485369;15513019;2125484;12820365;89158449;15235051;5072859;16542949;2976110;5697620;33572048;102696104;2695670;2719228;46287990;17297764;1584635
CC(CN1C2=CC=CC=C2SC2=C1C=C(C=C2)C(C)=O)N(C)C DB01615	CC(=O)c1ccc2c(c1)N(CC(C)N(C)C)c1ccccc1S2	4191652;499944;3771845;599760;14092349;14303471;4880431;25692332;4927823;7193354;2347168;24602131;85728813;2410247;2126843;13645895;1165465;492246;2033876;16770875;298307;5703593;1287879;25325662;11932615;14983875;3430293;21778106;673528;7477602;18111861;709221;13625620;10625516;1493157;52110945;9968097;1360429;1842819;15224967;2854771;6831058;3732409;12436352;15144369;12725107;21581905;9409867;14827019;9542320;6834954;12126273;20114823;1306847;713268;19205742;6070197;11125961;1788558;1058700;10215356;23343324;16992;1899304;5381063;1482612;2233633;4047113;4729531;3557723;6514320;829771;24771190;38077023;5031885;4261599;1075321;8393995;23640402;6659182;689613;23277323;6513302;2927142;5854853;27694772;2866273;1512909;5366851;33324450;15284711;6521622;6471655;258730;25073707;2093490;1837790;1609802;25070093;9833619;39038891;1453414;31627792;46586883;1351960;12508988;9870095;7840609;14812220;9239238;1169703;2077649;1418803;35080382;11244514;11010389;21175;10331879;36679809;31381347;1954204;16317552;1257045;24889858;9670905;15637640;3820140;22859369
CCOCCN1C(=NC2=CC=CC=C12)N1CCCN(C)CC1 DB01084	CCOCCn1c(N2CCCN(C)CC2)nc2ccccc21	6670835;18399382;14031302;8375132;10379874;1910088;5285841;31911532;22229779;6800770;1324038;37219775;1762569;4657747;5534779;15556769;15869557;2167830;751456;1799492;2354758;725585;17228207;1937982;21820985;13277591;374589;26012705;9429240;16376935;8665818;4831250;23688212;495980;7172269;14387137;30607484;1723033;2186171;20807334;9268316;317845;7144122;2527588;10207953;5393307;3475033;9409867;15998421;296394;184207;7655947;359423;2497643;10529824;5385022;24028285;5644528;643443;7455380;8971356;24819060;21399615;12210940;10843539;17028752;20249896;4689926;5422563;15532327;2388200;39926571;613262;4744863;12717685;6538283;459405;4723809;23546465;12834934;7137632;15458595;17409012;20302870;4996005;15026916;1530130;36809101;200951;700746;11581052;1932240;22663219;1957402;18859983;12979020;16664238;9005816;13038625;27262418;2199516;9547354;9305412;703043;17278152;14163380;29654417;11772687;10180196;8545350;13505095;27854361;7863713;10152413;16601579;8888691;5434159;5325039;543321;26740254;5402864;18149836;19589030;2455783;7965250;7589494;7469432;3912113
OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=C1C=CC=C2 DB00266	O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O	31840869;21317384;411650;48918480;3027463;15847577;10290209;6979388;4511347;6562466;1540770;6448063;1480245;2392361;2106363;14856836;5897793;29529090;5052500;17426850;13143110;8002203;18201499;5683710;6440067;18070799;33525842;6380925;579576;5105162;18061560;15425092;5308736;3239864;1483209;5136009;2050179;6455170;2958007;4043503;4714606;7399107;27781194;369574;32653157;14628195;28604425;9409867;2864887;1788330;3347901;44020015;2719849;2497643;12969638;28439454;18270381;11125961;73281925;7552412;23236668;26151966;54087;9443920;28265659;22171876;1593366;23400503;6651528;1873382;31296112;30350351;4220286;8459132;2252831;57297;1758592;8552422;1787567;76552;26411086;5549867;25672096;12856214;14222672;93294460;37243455;16387701;2651902;2888704;1671000;592674;12862207;2054814;36621665;65792460;35800611;187430;1194571;1417908;11891756;20426799;6008960;22044675;791162;1188554;29340898;11663300;2153952;61829542;8099592;13557901;7879945;33126970;12264009;2105509;9116127;6277639;27395;22640050;9368914;27869652;7677172;28367011;19359697;14644242;23389872;18268136
CN(C)CCCN1C2=CC=CC=C2CCC2=C1C=C(Cl)C=C2 DB01242	CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21	22142424;17270199;8680543;27996060;2707269;13541929;87919;5946012;8611155;2974282;20356738;3827081;3120357;2041959;2654395;6003288;11404201;2774070;15728208;4089289;298307;5703593;16653583;1937982;29957929;27399915;1493274;36787830;23176952;13992878;8078384;11113436;5680630;12311136;26200709;14257619;3723217;1557674;13092271;2554968;5646239;483772;10309488;49980128;29121485;16516539;1848973;9409867;11666085;21342088;41807955;6346181;31207947;1395227;713268;2326686;9530277;2103820;3870918;17112404;17994316;23343324;15715846;19748744;4038007;20652428;3708925;1666932;1447342;1525588;6967320;11399391;1439902;3249084;3827820;6240066;13478440;32838737;17935847;5292861;5243550;37505843;543002;19613302;16850752;21243644;12594356;850589;4147101;33014986;3869858;21616390;10729288;45423660;640888;52457955;3701184;20060685;42698935;1417908;506302;21649102;9692064;17413411;27339690;9560935;19536331;11772687;14942084;9240486;1337397;20308215;15720353;931050;6474230;5347343;3877931;11250783;50063579;609456;1954204;6407060;19589030;24889858;53458968;5655432;2648256;35817505
CCN(CC)CCOC(=O)C1=C(Cl)C=C(N)C=C1 DB01161	CCN(CC)CCOC(=O)c1ccc(N)cc1Cl	6670835;23318839;13801384;44015324;6751207;11132591;5354042;34947908;8611155;2974282;6379564;27519981;40653621;1907233;61075707;12892293;2937893;18524574;22820992;40600245;26498676;5703593;25323459;20082014;47831323;30083581;1493274;1456586;44244152;29760167;63756553;36792593;13139500;28928440;16720913;34274753;7922118;13962409;18957755;2554968;11076836;674205;47256277;15515954;34584417;3520915;629373;2218199;6865947;25794578;55968630;7061513;28798689;16002385;7300462;39008478;47762605;4396762;2253741;3229508;21404140;861798;499337;9811684;679259;26821836;6949253;72160072;8943370;55001944;4112464;18495543;84408470;12330787;84264641;6240066;7858962;677444;5568920;39223836;101107919;25416699;1640886;20468262;20387702;42161460;2208076;13033301;1960410;1050004;29530937;23326976;459509;33433176;16609786;60288142;15443967;21018824;11640777;351565;16976302;67671635;3584784;27475683;54830;35010509;48573303;7751032;19411216;4520358;20763310;28355719;18137561;29705794;826944;8220377;25177759;45900679;29895981;1838557;13227904;21834244;11915315;11190150;9670905;584978;5299304;36673169
C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C DB01245	C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C	54386147;18867392;51085396;71145089;170136366;26790260;4564080;91618540;7675475;2519226;13878048;9411555;21878633;23561941;16889211;9534512;24133393;20123476;36217700;2065035;22920486;151229073;53566627;92912958;76548655;85537147;102598064;195738241;29600632;60317642;124099212;7613837;121604215;24921312;2730073;34656723;48254150;5740681;7607919;7689484;65558689;27366040;87435873;29302590;17778905;10321803;81584187;116283215;41127325;12209838;30051753;53228669;34786407;16609797;83814854;34902990;53510893;24763652;126431291;28372412;92510764;45817220;29059099;71734810;59086991;33924;123817313;6542516;27162436;27792302;17834072;17943723;33638470;16027236;9195096;11869484;65616749;38382551;14089824;138426935;20047248;47328067;15559818;2608150;26455309;53492788;15401403;98565749;85519800;112448936;36967341;55497552;31253514;4747600;212735479;7743098;94903316;8117473;1419475;50932299;35099948;168936825;140224408;40890211;1031488;20554471;9957088;10412499;4479024;12225222;82790331;26152719;64277127;18418639;83583265;125610911;3041787;6542099;121583501;22379012;109822040;9040892;30429289;20490438;1676336;599606;58839032;14758875
[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCCC=C3CC[C@@]21[H] DB00304	C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC	7317044;10781158;9418207;30569367;14055998;2105975;8029372;2601020;7675475;35858946;13586068;7310327;15074429;150363;12364987;8480040;312173;11242292;810856;8469824;15033743;1273763;13485071;4092974;9363405;639679;19643849;10376644;3167352;6225007;2058077;1767576;7216526;8254904;2055253;2389825;7758151;254354;408055;551848;6535205;11792496;18717525;608218;417177;10321803;24093351;2197925;4784033;3835162;14052851;1698927;69675;6409941;7057452;12103230;23375157;1552238;4766338;3561172;7969052;67255556;14445441;5357522;3882867;5173712;4743348;1855566;11545146;14262298;6305768;6509571;33638470;12961740;4228467;3710790;1362922;7832355;822863;33120650;10813788;17986843;3022742;3180550;19579866;2494932;825072;4015453;7551337;12921439;5902417;693046;10936302;1485514;29976219;2635133;1292315;26799767;11519405;11450238;1929583;3545185;2904992;3336355;1395364;8566764;25159298;1820426;1322452;1582630;1273477;4097481;23656955;14840042;9428281;30385065;3066871;25417375;8188529;9946807;527780;14338348;31587895;2790718;10323932;35041658;1514912;9875118
[H]C(CCN(C)C)=C1C2=CC=CC=C2COC2=CC=CC=C12 DB01142	CN(C)CCC=C1c2ccccc2COc2ccccc21	5928935;5451723;23473574;27094850;3971443;16322911;25013497;24915908;7814287;20578802;45098506;20912145;4461029;2041959;14513403;25087238;23397733;472206;42151264;4515303;298307;5703593;4141779;1937982;16244455;17696499;16048437;2189498;3326136;5320022;8588430;191766;9880920;25446508;14918185;7109529;9142829;13962409;48201235;30741603;5646239;68758886;43632007;19725500;78940869;41972619;20224915;9409867;10031399;1788330;38135410;12126273;31207947;2497643;12969638;40210430;20864701;2162585;17585009;7552412;1479196;21064218;4351438;17960430;2173115;32757968;39885707;95025142;1447342;23321637;6832864;6321675;39593070;9305610;32666631;6240066;27199202;7343812;29954406;9256682;5243550;2004955;15200534;9795670;91085575;20232052;10182401;25487277;39043783;12824854;3869858;11322134;9212653;1538052;38093841;56677645;2151423;20060685;70438625;1417908;3620993;7455773;3934260;1903395;25707092;3237359;9188260;11772687;2386484;11463302;20871392;28355719;18137561;20162392;10906660;40680863;3285103;9435351;5894661;36393073;30266022;411748;19589030;12577248;80192532;11526754;6176968;45777320
CC1=CC2=C(C=C1C(=C)C1=CC=C(C=C1)C(O)=O)C(C)(C)CCC2(C)C DB00307	C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C	15820332;6226540;9418207;4106074;6049087;1449972;11237661;17531596;30911407;13401098;44310766;23110419;16441653;3832987;5372283;1667886;4976313;28868494;28577420;5971125;18599907;5703593;9926855;19787902;7869941;501656;14299242;13304544;721528;2102369;5771716;11113436;19562753;2869380;5183609;10243331;20993939;20192008;1081019;20552666;5646239;21436798;6779844;903106;6622133;3520915;12612389;5078683;33100791;387448;2450203;4474591;19267649;5027155;10822266;7916798;5189901;11125961;1456507;820892;6858492;13682792;6592427;14115048;4533719;24497656;5260601;8559856;1512112;32176998;21899032;9157667;1126126;7216459;24382797;5378689;4886541;2727549;1165181;973742;7203314;10982763;16288924;2114070;19002076;17336556;4199194;1512909;10784712;2924461;8051415;6575064;7168786;350470;3801682;11891047;9264722;12196103;24059123;1417908;1730994;336251;2710744;23355619;8300862;15838873;22860955;8197557;24057572;6300134;6179372;11741037;13075049;7432629;826944;1076637;6320539;650863;39540063;26009287;4454052;9820684;9189845;2364104;955160;6077216;18201160;13972405
[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=C(C)C2=CC(=O)CC[C@]12C DB00351	CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C	6572000;1035322;1207484;15031498;11900044;1466366;4043587;5407572;3817847;1536786;6149144;3019193;6534901;150363;12364987;7390942;3164617;17495106;3328044;3508903;5534905;2079397;11033143;25226078;2761499;8112233;7212937;1735095;3167352;5828939;2058077;1767576;6234756;1538496;2406797;2389825;1478105;2527533;2271975;1783721;574201;9660848;2135671;608218;278561;700211;3210843;3039863;4784033;370622;6408958;1670191;11039047;1136781;6051986;2981726;16549077;3344092;23833906;19444524;6680108;3308210;15066186;8263038;1855395;7851780;6121431;22477;911672;3723258;6020472;6062843;2101774;8911404;1145023;12108867;1362922;8255034;6997971;4919808;9702865;419411;15559818;6418822;639844;3105004;22278246;711853;9208984;1743228;536394;4087656;599985;8108544;3665647;6413002;3660028;4336588;6725387;11451106;8360357;2590215;2904992;2565091;30430058;967803;198962;7220006;464080;8872806;1194535;6096451;1438787;2316141;18254086;3985319;15039535;4874147;4698815;6640146;3734006;15063112;4480052;1077234;1974700;1932422;3382740;6943752
